類別：所有類別

星期,流行性感冒: (香港)
2013-01-27,8
2013-02-03,9
2013-02-10,6
2013-02-17,8
2013-02-24,9
2013-03-03,9
2013-03-10,10
2013-03-17,6
2013-03-24,5
2013-03-31,48
2013-04-07,49
2013-04-14,28
2013-04-21,22
2013-04-28,22
2013-05-05,13
2013-05-12,6
2013-05-19,7
2013-05-26,5
2013-06-02,4
2013-06-09,5
2013-06-16,6
2013-06-23,6
2013-06-30,4
2013-07-07,7
2013-07-14,4
2013-07-21,5
2013-07-28,3
2013-08-04,5
2013-08-11,4
2013-08-18,4
2013-08-25,8
2013-09-01,7
2013-09-08,7
2013-09-15,8
2013-09-22,7
2013-09-29,9
2013-10-06,8
2013-10-13,9
2013-10-20,8
2013-10-27,9
2013-11-03,7
2013-11-10,8
2013-11-17,6
2013-11-24,9
2013-12-01,22
2013-12-08,10
2013-12-15,10
2013-12-22,10
2013-12-29,15
2014-01-05,19
2014-01-12,16
2014-01-19,20
2014-01-26,22
2014-02-02,16
2014-02-09,15
2014-02-16,14
2014-02-23,14
2014-03-02,10
2014-03-09,10
2014-03-16,8
2014-03-23,7
2014-03-30,9
2014-04-06,8
2014-04-13,7
2014-04-20,5
2014-04-27,5
2014-05-04,4
2014-05-11,6
2014-05-18,7
2014-05-25,6
2014-06-01,5
2014-06-08,5
2014-06-15,4
2014-06-22,4
2014-06-29,5
2014-07-06,4
2014-07-13,5
2014-07-20,3
2014-07-27,6
2014-08-03,3
2014-08-10,3
2014-08-17,5
2014-08-24,4
2014-08-31,4
2014-09-07,5
2014-09-14,5
2014-09-21,6
2014-09-28,3
2014-10-05,8
2014-10-12,6
2014-10-19,9
2014-10-26,7
2014-11-02,10
2014-11-09,10
2014-11-16,8
2014-11-23,10
2014-11-30,22
2014-12-07,15
2014-12-14,10
2014-12-21,9
2014-12-28,14
2015-01-04,12
2015-01-11,13
2015-01-18,34
2015-01-25,54
2015-02-01,100
2015-02-08,53
2015-02-15,31
2015-02-22,32
2015-03-01,28
2015-03-08,15
2015-03-15,16
2015-03-22,17
2015-03-29,11
2015-04-05,9
2015-04-12,8
2015-04-19,9
2015-04-26,7
2015-05-03,7
2015-05-10,7
2015-05-17,5
2015-05-24,6
2015-05-31,8
2015-06-07,8
2015-06-14,7
2015-06-21,10
2015-06-28,6
2015-07-05,6
2015-07-12,6
2015-07-19,5
2015-07-26,4
2015-08-02,5
2015-08-09,4
2015-08-16,3
2015-08-23,4
2015-08-30,5
2015-09-06,5
2015-09-13,5
2015-09-20,4
2015-09-27,4
2015-10-04,5
2015-10-11,11
2015-10-18,6
2015-10-25,10
2015-11-01,9
2015-11-08,6
2015-11-15,7
2015-11-22,8
2015-11-29,8
2015-12-06,8
2015-12-13,9
2015-12-20,9
2015-12-27,6
2016-01-03,8
2016-01-10,6
2016-01-17,10
2016-01-24,9
2016-01-31,12
2016-02-07,16
2016-02-14,19
2016-02-21,19
2016-02-28,21
2016-03-06,30
2016-03-13,16
2016-03-20,14
2016-03-27,11
2016-04-03,11
2016-04-10,11
2016-04-17,10
2016-04-24,9
2016-05-01,9
2016-05-08,10
2016-05-15,13
2016-05-22,10
2016-05-29,6
2016-06-05,9
2016-06-12,6
2016-06-19,6
2016-06-26,4
2016-07-03,5
2016-07-10,5
2016-07-17,7
2016-07-24,4
2016-07-31,5
2016-08-07,2
2016-08-14,4
2016-08-21,5
2016-08-28,7
2016-09-04,4
2016-09-11,9
2016-09-18,12
2016-09-25,11
2016-10-02,12
2016-10-09,9
2016-10-16,7
2016-10-23,11
2016-10-30,7
2016-11-06,14
2016-11-13,8
2016-11-20,11
2016-11-27,10
2016-12-04,12
2016-12-11,12
2016-12-18,12
2016-12-25,14
2017-01-01,18
2017-01-08,17
2017-01-15,10
2017-01-22,12
2017-01-29,5
2017-02-05,12
2017-02-12,12
2017-02-19,24
2017-02-26,12
2017-03-05,13
2017-03-12,13
2017-03-19,10
2017-03-26,13
2017-04-02,11
2017-04-09,13
2017-04-16,9
2017-04-23,10
2017-04-30,7
2017-05-07,8
2017-05-14,9
2017-05-21,12
2017-05-28,12
2017-06-04,10
2017-06-11,11
2017-06-18,10
2017-06-25,12
2017-07-02,16
2017-07-09,26
2017-07-16,47
2017-07-23,46
2017-07-30,28
2017-08-06,36
2017-08-13,16
2017-08-20,9
2017-08-27,9
2017-09-03,9
2017-09-10,9
2017-09-17,8
2017-09-24,16
2017-10-01,12
2017-10-08,11
2017-10-15,14
2017-10-22,15
2017-10-29,14
2017-11-05,14
2017-11-12,14
2017-11-19,12
2017-11-26,14
2017-12-03,12
2017-12-10,10
2017-12-17,8
2017-12-24,19
2017-12-31,23
2018-01-07,31
2018-01-14,59
2018-01-21,51
